punteggio,prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,2087.0,,BIESUZ Enrico,2002,CM,ANA ATL.FELTRE,9 su- 1,Agordo,2016-05-01,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1090.0,,BOLZONELLO Sebastiano,2002,CM,ANA ATL.FELTRE,21 su- 1,Agordo,2016-05-01,https://www.fidal.it/atleta/BOLZONELLO-Sebastiano/eKmRlJaocWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1047.0,,CAPRETTA Francesco,2002,CM,ANA ATL.FELTRE,22 su- 1,Agordo,2016-05-01,https://www.fidal.it/atleta/CAPRETTA-Francesco/eKmRlJagcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,282.0,,FERTONANI Nicolo',2002,CM,ANA ATL.FELTRE,25 su- 1,Agordo,2016-05-01,https://www.fidal.it/atleta/FERTONANI-Nicolo-/eKmRlJefaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,2791.0,,BIESUZ Enrico,2002,CM,ANA ATL.FELTRE,4 su- 1,Belluno,2017-07-02,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,2440.0,,ZABOT Julian,2002,CM,ANA ATL.FELTRE,6 su- 1,Belluno,2017-07-02,https://www.fidal.it/atleta/ZABOT-Julian/eKmRlJelbGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1747.0,,GRIS Matteo,2002,CM,ANA ATL.FELTRE,11 su- 1,Belluno,2017-07-02,https://www.fidal.it/atleta/GRIS-Matteo/eKmRlJWibGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,311.0,,POSSAMAI Alberto,2003,CM,ANA ATL.FELTRE,18 su- 1,Belluno,2017-07-02,https://www.fidal.it/atleta/POSSAMAI-Alberto/eKmRlJeka2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,2419.0,,CRIVELLER Marco,2003,CM,ANA ATL.FELTRE,4 su- 1,Valesella,2018-05-19,https://www.fidal.it/atleta/CRIVELLER-Marco/eKmRlJWlb2Y%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,2397.0,,SCOPEL Simone,2006,CM,ANA ATL.FELTRE,2 su- 1,Alpago,2021-05-29,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,2498.0,,BELLUS Riccardo,2008,CM,ANA ATL.FELTRE,2 su- 1,Alpago,2022-06-18,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1806.0,,SAADAOUI Omar,2008,CM,ANA ATL.FELTRE,4 su- 1,Alpago,2022-06-18,https://www.fidal.it/atleta/SAADAOUI-Omar/eKmRlJimbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1767.0,,BALDISSERI Pietro,2008,CM,ANA ATL.FELTRE,5 su- 1,Alpago,2022-06-18,https://www.fidal.it/atleta/BALDISSERI-Pietro/eKmRlJeocGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1217.0,,PETITTO Leonardo,2008,CM,ANA ATL.FELTRE,9 su- 1,Alpago,2022-06-18,https://www.fidal.it/atleta/PETITTO-Leonardo/eKmRlJijbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,3163.0,,SAADAOUI Omar,2008,CM,ANA ATL.FELTRE,2 su- 1,Agordo,2023-06-25,https://www.fidal.it/atleta/SAADAOUI-Omar/eKmRlJimbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,2895.0,,BELLUS Riccardo,2008,CM,ANA ATL.FELTRE,3 su- 1,Agordo,2023-06-25,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,2428.0,,PETITTO Leonardo,2008,CM,ANA ATL.FELTRE,4 su- 1,Agordo,2023-06-25,https://www.fidal.it/atleta/PETITTO-Leonardo/eKmRlJijbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1984.0,,SCOPEL Nicola,2008,CM,ANA ATL.FELTRE,5 su- 1,Agordo,2023-06-25,https://www.fidal.it/atleta/SCOPEL-Nicola/eKmRlJeocGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
