punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,24.63,CESCATO Beatrice,1993,CF,ANA ATL.FELTRE,6 su- 1,Verona,2007-06-02,https://www.fidal.it/atleta/CESCATO-Beatrice/eKmRlJOgb2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,28.44,CESCATO Beatrice,1993,CF,ANA ATL.FELTRE,2 su- 1,Verona,2008-06-01,https://www.fidal.it/atleta/CESCATO-Beatrice/eKmRlJOgb2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,20.61,BIASUZZI Silvia,1994,CF,ANA ATL.FELTRE,7 su- 1,Vicenza,2009-06-06,https://www.fidal.it/atleta/BIASUZZI-Silvia/eKmRlJOoamM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,26.81,DE BACCO Gioia,1998,CF,ANA ATL.FELTRE,9 su- 1,Bassano Del Grappa,2013-06-01,https://www.fidal.it/atleta/DE-BACCO-Gioia/eKmRlJSmbGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,24.79,FILOSA Annalisa,1999,CF,ANA ATL.FELTRE,14 su- 1,Belluno,2014-06-07,https://www.fidal.it/atleta/FILOSA-Annalisa/eKmRlJSjb2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,16.85,TONIN Sara,2001,CF,ANA ATL.FELTRE,21 su- 1,Rovigo,2016-05-28,https://www.fidal.it/atleta/TONIN-Sara/eKmRlJSgcWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.89,TONIN Sara,2001,CF,ANA ATL.FELTRE,4 se- 1,Agordo,2016-05-15,https://www.fidal.it/atleta/TONIN-Sara/eKmRlJSgcWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.76,DAL ZOTTO Benedetta,2005,CF,ANA ATL.FELTRE,25 su- 1,Bassano Del Grappa,2019-05-25,https://www.fidal.it/atleta/DAL-ZOTTO-Benedetta/eKmRlJiibmg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.09,SPADA Anna,2007,CF,ANA ATL.FELTRE,27 su- 1,Abano Terme,2021-06-19,https://www.fidal.it/atleta/SPADA-Anna/eKmRlJmkaWQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,24.33,MILONE Agnese,2010,CF,ANA ATL.FELTRE,13 su- 1,Vittorio Veneto,2024-09-21,https://www.fidal.it/atleta/MILONE-Agnese/eKmRlJqfcGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
