"COD","Società"
"AR364","ASD SUBBIANO MARATHON"
"AR417","ATLETICA AVIS BIBBIENA"
"AR419","ATLETICA AVIS SANSEPOLCRO"
"AR421","ASD POLISP. SPORT REAL LIFE"
"AR422","ATLETICA FREE RUNNERS AREZZO"
"AR423","G.S FIAMME VERDI AREZZO"
"AR464","FILIRUN TEAM ASD"
"AR479","ASD WELOVEINSULINA TEAM"
"AR491","SPORT EVENTS CORTONA"
"AR500","EVOLUTION SSD"
"AR505","ASD BBP ATHLETIC"
"AT001","S.S. VITTORIO ALFIERI ASTI"
"AT003","A.S.D. BRANCALEONE  ASTI"
"AT005","D-L-F DOPO LAVORO FERROVIARIO"
"AT006","MEZZALUNA A.P.D."
"AT007","US COSTIGLIOLE G. GIORDANO"
"AT012","ATLETICA CASTELL'ALFERO T.F.R."
"AT013","ATLETICA MEZZALUNA"
"AT014","A.S.D. GATE-CRAL INPS"
"AT015","ATLETICANELLI"
"AT017","A.S.D. HAMMER TEAM"
"AT018","TEAM DLF ASTI ASD"
"AT019","ATLETICA ASTI 2.2 A.S.D."
"AT020","ASD RAINBOW PLANET"
"AT021","ASD JUNIOR PENTATHLON ASTI"
"AV008","A.S.D.  G.P. MONTELLESE"
"AV009","GSA S. GERARDO MONTORO SUP."
"AV010","A.S.D. G.P. DEL BAIANESE"
"AV011","ASD MONTEMILETTO TEAM RUNNERS"
"AV016","A.S.D. C.F.F.S. ATL. AVELLINO"
"AV122","A.S.D. 'LIONS CLUB' GROTTAM.DA"
"AV175","AVELLINO RUNNER"
"AV177","A.S.D. ATL. SUD AVELLINO"
"AV208","ASD ENTERPRISE SPORT & SERVICE"
"AV210","A.S.D. L'IRPINIA CORRE"
"AV510","A.S.D.ATLETICA AMATORI IRPINI"
"AV573","ASD MARATHON CL. ARIANO IRPINO"
"AV600","POL. PODJGYM AVELLINO"
"AV700","ASD IRPINIA ITALIA"
"AV800","BAIANO RUNNERS"
"AV801","LIONS VALLE UFITA"
"AV802","A.S.D. HIRPUSATLETICADUKATANI"
"BA001","POLISPORTIVA F. LANDOLFI"
"BA003","ASS.POL.C.ATL.MOLFETTA D.T.B."
"BA005","AMATORI ATL. ACQUAVIVA"
"BA006","ASD GIOVANI ATLETI BARI 1969"
"BA007","CUS BARI"
"BA008","ASD ELITE ACADEMY BARI"
"BA011","A.S. ATLETICA CASTELLANA"
"BA015","A.S. OLIMPIA CLUB MOLFETTA"
"BA020","FIAMMA OLIMPIA PALO"
"BA021","S.S. FIAMMA GIOVINAZZO"
"BA023","ATLETICA GIOVANILE ACQUAVIVA"
"BA025","A.S. AMATORI PUTIGNANO"
"BA026","ATLETICA BARLETTA"
"BA028","ATL.GIOVANILE TRIGGIANO BARI"
"BA029","A.A.'E. MANZARI' CASAMASSIMA"
"BA031","POL. LIBERTAS CORATO"
"BA033","ATLETICA BARI"
"BA035","A.A.A. BARLETTA"
"BA039","A.S.D. AMICI STRADA DEL TESORO"
"BA041","ATLETICA PRO CANOSA"
"BA043","G.S.ATLETICA AMATORI CORATO"
"BA047","NUOVA ATL. FEMM. ACQUAVIVA"
"BA049","G.S.P. III REGIONE AEREA BARI"
"BA052","BARI ROAD RUNNERS CLUB"
"BA057","ATHLETIC MARATHON SANTERAMO"
"BA058","ATLETICA  MONOPOLI"
"BA068","ATHLETIC TEAM BARLETTA"
"BA077","ATL.LEGGERA LIBERTAS MONOPOLI"
"BA082","ATLETICA TOMMASO ASSI TRANI"
"BA089","ALTERATLETICA LOCOROTONDO"
"BA091","ADEN EXPRIVIA DAI OPTICAL MOLF"
"BA093","ATLETIC CLUB ALTAMURA"
"BA096","A.S. ATL SPRINT  BARLETTA"
"BA097","SPORT CENTER A.S.D."
"BA098","TEAM PUGLIAVVENTURA"
"BA099","POL. 'D. PIETRI' GRAVINA"
"BA501","ATL. HELIOS TERLIZZI"
"BA502","A.S.D. MONTEDORO NOCI"
"BA505","A.S. QUELLI DELLA PINETA"
"BA507","A.MARATONETI ANDRIESI"
"BA515","A.S. ' BELVEDERE ' ANDRIA"
"BA518","ATLETICA SAMMICHELE"
"BA521","A.S. DOF AMATORI TURI"
"BA527","A.S. NOLIMITS"
"BA529","A.S.D. TRANI MARATHON"
"BA530","G.S.BRIGATA CORAZZATA PINEROLO"
"BA533","EURATLETICA BISCEGLIE"
"BA535","A.S. ATLETICA POLIGNANO"
"BA538","ATLETI  VALLE DELL'OFANTO"
"BA541","ALTEATLETICA ALTAMURA"
"BA545","AMATORI ATLETICA TRIGGIANO"
"BA548","G.S. ESERCITO 10° RE.TRA"
"BA550","AVIS IN CORSA CONVERSANO"
"BA553","ATLETICA ADELFIA"
"BA554","FREE RUNNERS MOLFETTA"
"BA556","ATL. POLISPORTIVA TRANI"
"BA557","ASS. S. D. PINK PANTHER"
"BA581","A.S.D. ATLETICA BITRITTO"
"BA582","A.S.D. BISCEGLIE RUNNING"
"BA586","A.S.D. ASOPICO RUNNING BARI"
"BA587","LA PIETRA"
"BA589","POL. DILETT. GIOVINAZZO"
"BA592","BARLETTA SPORTIVA"
"BA594","PEDONE-RICCARDI BISCEGLIE"
"BA597","ASD NUOVA ATLETICA GIOVINAZZO"
"BA599","RUNNING PEOPLE NOICATTARO"
"BA700","A.S.D. NADIR ON THE ROAD - PUT"
"BA702","MURGIA MARATHON SANTERAMO"
"BA703","HAPPY RUNNERS ALTAMURA"
"BA704","ASD PER ASPERA AD ASTRA BARI"
"BA705","BITONTO RUNNERS"
"BA706","ATLETICA 2010"
"BA707","DREAM TEAM BARI"
"BA708","CARINGELLA SANNICANDRO DI BARI"
"BA709","CAMPUS BELLAVISTA"
"BA710","A.S.D. GRAVINA FESTINA LENTE!"
"BA711","BIO AMBRA NEW AGE"
"BA713","GIOIA RUNNING A.S.D."
"BA714","ALBEROBELLO RUNNING ASD"
"BA715","ATLETICA ALTAMURA"
"BA716","BARILE FLOWER F.R.TERLIZZI ASD"
"BA717","ATLETICA FIAMMA GIOVINAZZO CAR"
"BA718","ASD BIANCOVERDE GIOVINAZZO"
"BA719","RUNNERS DEL LEVANTE"
"BA720","ATLETICA MEDITERRANEA BARI"
"BA721","LA FABRICA DI CORSA"
"BA723","S.S.D. A.R.L. DYNAMYK FITNESS"
"BA724","ROAD RUNNERS TRANI"
"BA725","A.S.D. ATLETICA AZZURRA"
"BA726","BITONTO SPORTIVA"
"BA728","SEI SPORT"
"BA729","A.S.D.  LA FENICE"
"BA730","STRARUNNERS BARI"
"BA731","A.S.D. ROAD RUNNING MOLFETTA"
"BA732","ACQUAMARINA PALESE"
"BA733","ALLENAMENTI"
"BA734","ATLETICAMENTE"
"BA735","ASD NEW ATHLETIC PROJECT"
"BA736","BITETTO RUNNERS A.S.D."
"BA739","ASD SMART FIT GRAVINA"
"BA740","RUNNING TEAM D'ANGELA SPORT"
"BA741","FUTURATHLETIC TEAM APULIA"
"BA742","ALL TRI SPORTS A.S.D."
"BA743","NUOVATLETICA BISCEGLIE"
"BA745","VIRTUS MODUGNO"
"BA749","PILA ATLETICA BARI"
"BA751","NUOVA ATLETICA BITONTO"
"BA752","ASD ATLETICA FIAMMA GIOVINAZZO"
"BA754","G.S. AVIS BARLETTA A.S.D."
"BA755","ASD RUNNING CASSANO VENTI18"
"BA756","ASD CORATO ATLETICA LEGGERA"
"BA757","TRACK & FIELD BARI"
"BA758","ASD AVIS MOLA RUNNING"
"BA759","ASD SPITS RUN W & T SAMMICHELE"
"BA760","ASD RUTIGLIANO ROAD RUNNERS"
"BA761","GM SPORT ASD"
"BA762","OFFICINA ATLETICA 2010 SSD"
"BA763","ASD ATLETICA CARTUR FIAMMA"
"BA764","ASD TERLIZZI SPORTING CLUB"
"BA765","ATLETICA PHOENIX ASD"
"BA768","AMICI FONTANA ROMANO TRIGGIANO"
"BA769","A.S.D. IOCORRO"
"BA770","ASD CORRERE PER SEMPRE"
"BA772","ASD POLISPORTIVA PAOLO SASSO"
"BA773","A.S.D. AMICI DI MARCO"
"BA774","SPORT & LIFE ASD"
"BA775","A.S.D. GRIFO CLUB"
"BA776","ASD ATLETICA CONVERSANO"
"BA777","PR FUTURA ATLETICA CASAMASSIMA"
"BA778","EVENTI SPORTIVI ASD"
"BA779","A.D. SPORT A.S.D."
"BA780","ZERODUE S.S.D. A R.L."
"BA781","ASD FITWALKING ANDRIA CAMMINA"
"BA782","ANDRIA ATHLETIC CLUB A.S.D."
"BA786","A.S.D. NUOVA ATLETICA FIAMMA"
"BG003","ATL. BERGAMO 1959 ORIOCENTER"
"BG004","U.S. SCANZOROSCIATE"
"BG005","ATL. PRESEZZO"
"BG007","POL. OSIO SOPRA"
"BG024","ATL. LEFFE"
"BG025","EDUCAZIONE.SPORT A.S.D."
"BG036","ATL. SALETTI"
"BG042","EASY SPEED 2000"
"BG045","ATL. PIANURA BERGAMASCA"
"BG048","VANOTTI RUNNING TEAM"
"BG070","A.S.D. AURORA FONTANELLA"
"BG105","POL. D. ORATORIO CLUSONE"
"BG134","ATL. LA TORRE"
"BG135","G. ALPINISTICO VERTOVESE"
"BG138","U.S. OLIMPIA A.S.D."
"BG140","LIBERTAS ATL. CARAVAGGIO"
"BG141","ATL. POL. ARDESIO"
"BG143","C.A.OLIMPIA-C.M.VALSERIANA SUP"
"BG146","RUNNING TORRE DE' ROVERI"
"BG149","ATL. VALLI BERGAMASCHE LEFFE"
"BG166","GS AVIS TREVIGLIO G.BRUSAFERRI"
"BG170","CRAL BANCA POP. BERGAMO"
"BG171","RUNNERS ACADEMY ASD"
"BG222","POL. BOLGARE SEZ. ATL."
"BG223","ATL. VALLE BREMBANA"
"BG224","ATL. CURNO"
"BG225","ATL. CASAZZA"
"BG227","ATL. ALME'"
"BG228","U.S. ROGNO"
"BG232","POL. ATL. BREMBATE SOPRA"
"BG236","A.S.D. LA RECASTELLO"
"BG237","G.S. OREZZO"
"BG248","ATL. ESTRADA"
"BG282","ATL. CASTEL ROZZONE"
"BG288","ATL. URGNANO"
"BG289","U.S. SAN PELLEGRINO TERME"
"BG290","ATL. ROMANO"
"BG291","POL. CAPPUCCINESE"
"BG300","ATL. TREVIGLIO"
"BG339","BIGACC DE ELA"
"BG343","U.S. MOZZO"
"BG351","G.S. A.MARINELLI COMENDUNO"
"BG353","POOL SOC.ATL.ALTA VALSERIANA"
"BG371","SPORTING CLUB ALZANO"
"BG379","ATL. CRAL CREBERG"
"BG390","ATL. COLOGNO AL SERIO"
"BG417","POL. GRASSOBBIO"
"BG420","MARATHON TEAM BG"
"BG425","MEDIRUN"
"BG472","RUNNERS BERGAMO"
"BG479","G.S. OROBIE"
"BG511","ATL. VALLE IMAGNA"
"BG520","GRUPPO SPORTIVO OROBICO"
"BG536","G.S. ALTITUDE"
"BG542","ATL. BRUSAPORTO"
"BG572","ORATORIO ALBINO ATL."
"BG576","ATL. ALTA VALLE BREMBANA"
"BG584","POL. VILLESE"
"BG594","CLUB PANTERA ROSA"
"BG595","TARTARUNNERS VALTESSE"
"BG605","ATL. VALBRENO"
"BG606","FO' DI PE"
"BG620","G.S. FIORINE"
"BG627","POLISPORTIVA RANICA ASD"
"BG649","GRUPPO SPORTIVO ADDA"
"BG658","ATLETICA MARATHON ALMENNO S.S."
"BG675","ATLETICA TRESCORE"
"BG689","A.S.D. ATLETICA SARNICO"
"BG705","ATL. E PODISTICA POL.BOTTANUCO"
"BG726","ROMANO RUNNING"
"BG737","POLISPORTIVA IMIBERG"
"BG738","X-BIONIC RUNNING TEAM"
"BG747","ATLETICA DALMINE EDUCANDO"
"BG762","FRECCE GIALLO BLU"
"BG772","ASD ATLETICA STEZZANO"
"BG795","BERGAMO STARS ATLETICA"
"BG800","PODISTI FARESI"
"BG840","ASD GSA SOVERE ATLETICA"
"BG841","GRUPPO SPORTIVO ALPINI SOVERE"
"BG855","GRUPPO PODISTICO ARCENE A.S.D."
"BG869","ATLETICA CRAL BANCO BPM"
"BG891","ELLE ERRE ASD"
"BG893","CANTO DI CORSA"
"BG910","CUS BERGAMO ATLETICA ASD"
"BG917","WE RUN BERGAMO ASD"
"BG928","PODISTI DUE CASTELLI  ASD"
"BG932","ATL. TRESCORE TRACK AND FIELD"
"BG961","POLISPORTIVA CURNO A.S.D."
"BG962","BERBENNO RUNNERS"
"BG974","CUS BERGAMO ASD"
"BL001","ATL.LONGARONE SINTECO"
"BL004","G.S. QUANTIN ALPENPLUS"
"BL005","ATL. TRICHIANA"
"BL006","USR LASEN - LATTE ALBALUNA"
"BL007","US CESIO"
"BL008","GS LA PIAVE 2000"
"BL009","ATHLETIC CLUB FIREX BELLUNO"
"BL010","A.ATL.DOLOMITI BELLUNO"
"BL011","BELLUNOATLETICA M.G.B."
"BL012","ANA ATL.FELTRE"
"BL015","ATL.INTERLOZZO"
"BL017","G.S.VV.FF.-DE VECCHI-BL"
"BL018","POL.S.GIUSTINA"
"BL019","ATL.AGORDINA"
"BL021","GIRO DELLE MURA CITTA FELTRE"
"BL022","ATL.SAPPADA PLODN"
"BL025","POLISPORTIVA CAPRIOLI"
"BL027","ATLETICA COMELICO"
"BL029","ATL. CORTINA C. RURALE CORTINA"
"BL030","ATL.FIORI BARP"
"BL033","GR.MARC. CALALZO ATL. CADORE"
"BL041","A.S.D. GRUPPO SPORTIVO ASTRA"
"BL042","ASD VODO DI CADORE"
"BL044","ATLETICADORE - GIOCALLENA ASD"
"BL046","RUN&FUN OLTRE TEAM"
"BL047","ALPAGO TORNADO RUN"
"BN026","A.S.D. LIB. POL. AMAT. ATL. BN"
"BN050","ASD RUNNING TELESE TERME"
"BN100","POD. VALLE CAUDINA"
"BN182","LIB. ATL. BENEVENTO"
"BN286","ASD POL. ASTRO 2000 BENEVENTO"
"BN300","A.S.D. ATL. DUGENTA"
"BN450","SANNIO RUNNERS"
"BN460","S.S.D. TELESIA RUNNING TEAM"
"BN490","ASD FILIPPIDE RUNNERS"
"BN514","ASD AMATORI PODISMO BENEVENTO"
"BN702","A.S.D. PODISMO BENEVENTO"
"BN800","LIBERTAS AMATORI ATLETICA LEGG"
"BO002","ACQUADELA ASD"
"BO005","G.S. GABBI ASD"
"BO007","ASD VIRTUS SEZ. ATL. EMILSIDER"
"BO008","C.U.S. BOLOGNA A.S.D."
"BO009","PODISTICA PONTELUNGO BOLOGNA"
"BO011","C.S. CARABINIERI SEZ. ATLETICA"
"BO014","ATL. IMOLA SACMI AVIS"
"BO015","A.S.D. FRANCESCO FRANCIA"
"BO017","ASD POD. LIPPO CALDERARA"
"BO021","G.P. I CAGNON"
"BO023","ATL. AVIS CASTEL S.PIETRO"
"BO037","POL.  DIL. SANRAFEL"
"BO038","ASD TEAM GRANAROLO"
"BO041","ASD FIDAS  GNARRO JET MATTEI"
"BO124","ATL. CASTENASO  CELTIC DRUID"
"BO138","POL. PORTA SARAGOZZA"
"BO150","LOLLIAUTO ASD"
"BO184","SOCIETA' VICTORIA"
"BO239","A.S.D. LUMEGALTORENO"
"BO263","G.P.  ATLETICA MOLINELLA"
"BO270","ATL. VALLESAMOGGIA"
"BO332","POL. AVIS BOLOGNESE"
"BO334","POL. CIRCOLO DOZZA ASD"
"BO379","EUREKA ATL. VALLE DEL RENO"
"BO418","ATLETICA MELITO"
"BO427","CSI SASSO MARCONI"
"BO429","POL. ZOLA SEZ. ATLETICA"
"BO430","ATLETICA NEW STAR"
"BO434","ASD ATLETICA BLIZZARD"
"BO437","S.G. PERSICETANA"
"BO468","TRIIRON"
"BO473","APD DIPENDENTI AUSL DI BOLOGNA"
"BO506","A.S.D. PONTEVECCHIO BOLOGNA"
"BO508","POL. MONTE SAN PIETRO"
"BO512","Q.E.D."
"BO516","POLISPORTIVA PROGRESSO ASD"
"BO522","POLISPORTIVA ATLETICO BORGO PA"
"BO527","A.S.D TEAM SPARTANS"
"BO536","ASD ATLETICA MELITO BOLOGNA"
"BO544","PASSO CAPPONI ASD"
"BO545","9,92 RUNNING ASD"
"BO563","POLISPORTIVA MONTEVEGLIO A.S.D"
"BO571","UNIONE SPORTIVA ZOLA A.S.D."
"BO581","A.S.D. CC GIUSEPPE CAVAGNERO"
"BO585","RUN LIKE US SPD A RL"
"BO598","SSDRL CINQUE CERCHI"
"BO613","ATLETICA SAN GIORGIO DI PIANO"
"BR103","ATLETICA AMATORI BRINDISI"
"BR104","ATL.AM. CISTERNINO ECOLSERVIZI"
"BR109","TOP RUNNING  BRINDISI"
"BR113","ATLETICA CASALINI"
"BR115","A.S.NUOVATLETICA FRANCAVILLA"
"BR116","ATL. CENTRO SPORT BRINDISI"
"BR128","ATLETICA ORIA"
"BR131","A.S. ATLETICA LATIANO"
"BR134","ASS. AMICI ATL.VILLA CASTELLI"
"BR135","ATLETICA CITTA' BIANCA"
"BR138","A.S.D. TEAM FRANCAVILLA"
"BR139","GYMNASIUM S. PANCRAZIO"
"BR141","POLISPORT CICLO CLUB FASANO"
"BR142","A.P.D. A.S. MICHELE SALENTINO"
"BR143","A.S.D. ATLETICA CAROVIGNO"
"BR144","ATALAS SAN VITO DEI NORMANNI"
"BR145","A.S.D. ATLETICA MESAGNE - AVIS"
"BR147","FOLGORE BRINDISI 1946"
"BR148","LE OMBRE DELL'ALBERO"
"BR153","ASD APULIATHLETICA"
"BR154","ATLETICA CEGLIE MESSAPICA"
"BR155","APD RUNNERS SAN MICHELE SALENT"
"BR156","A.S.D. ORIABIKERUN"
"BR157","ASD LABORATORIO DEL BENESSERE"
"BR158","OSTUNI RUNNER'S"
"BR159","DORANDO PIETRI"
"BR160","PODISMO SPV MY DOMO"
"BR162","OLIMPO LATIANO"
"BR163","ECOLSERVIZI RUNNERS"
"BR165","ASD IMPERIALI ATLETICA"
"BR167","ASD MFR BRINDISI"
"BR168","ASD ATLETICA ORIA SUPERSTAR"
"BR169","A.S.D. URBAN RUNNER"
"BR170","ASD LE OMBRE DELL'ALBERO"
"BR171","ASD ZZW TRIATHLON"
"BR172","ASD GIOVANI MESSAPI LATIANO"
"BR173","ASD APPIATLETICA"
"BS018","UNIONE SPORTIVA ACLI SAN POLO"
"BS030","ASD PODISTI URAGOMELLA BRESCIA"
"BS035","ASD ATLETICA JACOBS ACADEMY"
"BS038","ASD AUDACES VALLE DEL GARZA"
"BS082","POLISPORTIVA G.B. VIGHENZI"
"BS107","AIDO ARTOGNE ASD"
"BS113","BRIXIA POWER SSD SRL"
"BS173","G.S. IVECO BRESCIA"
"BS175","ATL. FABARM"
"BS176","ROSA RUNNING TEAM"
"BS177","POL. SAREZZO SEZ. ATL."
"BS178","A.S.D. ROBUR SALÒ"
"BS179","ASD ATLETICA LEONESSA"
"BS181","ATL. BRESCIA 1950"
"BS183","C.S. S.ROCCHINO"
"BS184","ORATORIO ROE VOLCIANO"
"BS186","C.S. LIB. GUSSAGO"
"BS190","ATL. EVERGREEN"
"BS191","U.S. SERLE"
"BS196","POLISPORTIVA CAPRIOLESE SSDARL"
"BS197","POL.CALVAGESE"
"BS198","ASD ATL. VILLANUOVA '70"
"BS199","ATL. VALLECAMONICA"
"BS201","U.S. AUDACES NAVE"
"BS202","G.P. S.ANGELA AVIS DESENZANO"
"BS243","ATL. REBO GUSSAGO"
"BS256","PADILE RUNNING TEAM"
"BS268","A.R.T. COMM. ATL.TRAVAGLIATO"
"BS274","G.P. PELLEGRINELLI"
"BS278","ATL. CARPENEDOLO"
"BS284","ATL. C.S.S.R. BRESCIA"
"BS297","ATL. CLUB 10 + 7 SALO"
"BS299","EQUIPE RUNNING"
"BS303","OLYMPIA ATHLETIC TEAM"
"BS304","ATL. DI LUMEZZANE"
"BS318","ATL. CHIARI 1964 LIB."
"BS319","ATL. RODENGO SAIANO MICO"
"BS333","POL. VOBARNO"
"BS341","FG. ATL. FALEGNAMERIA GUERRINI"
"BS355","U. ATL. VALTROMPIA"
"BS362","G.S. MONTEGARGNANO"
"BS364","G.S. ATL. REZZATO"
"BS366","POL. ADRENSE"
"BS368","U.S. MALONNO"
"BS370","ATL. SAN PAOLO 2001"
"BS377","ATL. BEDIZZOLE"
"BS397","U.S. LA SPORTIVA"
"BS442","ATL. LIB. CASTEGNATO"
"BS454","G.P. FELTER SPORT PUEGNAGO"
"BS461","ATL. OGLIESE PALAZZOLO S/O"
"BS464","POL.S. FELICE D/B-GARDA COMPUT"
"BS465","NEW ATHLETICS SULZANO"
"BS468","ATLETICA X UNA VITA MIGLIORE"
"BS497","A.S.D. OLIMPIA BRESCIA"
"BS508","PRO DESENZANO"
"BS521","FREE-ZONE"
"BS535","RUNNING & ADVENTURE"
"BS538","ATL. GAVARDO '90 LIB."
"BS544","BOVEGNO FALEGNAMERIA FONTANA"
"BS545","ATL. FRANCIACORTA OXYBURN"
"BS562","ATL. PARATICO"
"BS566","TRESTELLE DESENZANO"
"BS575","ATL. VIRTUS CASTENEDOLO"
"BS593","ATLETICA DELLO"
"BS596","ATL. CELLATICA"
"BS607","ATL. POMPIANO"
"BS612","POL. VOBARNO"
"BS614","POL. HYPPODROM '99 PONTOGLIO"
"BS626","CIRCOLO AMATORI PODISTI"
"BS640","AV SPORTING TEAM"
"BS648","KINETIK RUNNING"
"BS652","ASD MOTUS ATLETICA"
"BS657","CORRINTIME"
"BS659","AVIS SPORT CAZZAGO SAN MARTINO"
"BS660","ARIENI TEAM"
"BS664","SPORT&FITNESS SRL  SSD"
"BS684","ATLETICA CONCESIO 2009"
"BS688","ATLETICA BRESCIA MARATHON"
"BS692","A.S.D. C.U.S. BRESCIA"
