prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4270.0,,FILIPPINI Riccardo,2000,CM,LIB.ATL. CASTELGANDOLFO-ALBANO,1 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/FILIPPINI-Riccardo/f6iRmZmmbmk%3D,https://www.fidal.it/societa/LIB-ATL--CASTELGANDOLFO-ALBANO/RS010
4267.0,,GALLI Stefano,2000,CM,U.S. QUERCIA TRENTINGRANA,1 su- 1,Borgo Valsugana,2015-09-13,https://www.fidal.it/atleta/GALLI-Stefano/d6iRk5WiaWM%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
4238.0,,DI BLASIO Alessio,2000,CM,TRIESTE TRASPORTI CRAL ATL.GIO,2 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/DI-BLASIO-Alessio/eauRk5Kfamg%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
4204.0,,GALLIMBERTI Marcello,2000,CM,POL.BIENATE MAGNAGO ATL.,3 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/GALLIMBERTI-Marcello/dq2RlJOnamk%3D,https://www.fidal.it/societa/POL-BIENATE-MAGNAGO-ATL-/MI157
4173.0,,FILIPPINI Riccardo,2000,CM,LIB.ATL. CASTELGANDOLFO-ALBANO,1 su- 1,Roma,2015-09-23,https://www.fidal.it/atleta/FILIPPINI-Riccardo/f6iRmZmmbmk%3D,https://www.fidal.it/societa/LIB-ATL--CASTELGANDOLFO-ALBANO/RS010
4143.0,,BARA Ousseni,2000,CM,ORATORIO ROE VOLCIANO,4 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/BARA-Ousseni/dqqRl5elamY%3D,https://www.fidal.it/societa/ORATORIO-ROE-VOLCIANO/BS184
4117.0,,PASSARINI Chandra,2000,CM,A.S.D. PONTEVECCHIO BOLOGNA,1 su- 1,Bologna,2015-06-20,https://www.fidal.it/atleta/PASSARINI-Chandra/eqmRkpOlbGo%3D,https://www.fidal.it/societa/A-S-D--PONTEVECCHIO-BOLOGNA/BO506
4107.0,,GALLIMBERTI Marcello,2000,CM,POL.BIENATE MAGNAGO ATL.,1 su- 1,Chiari,2015-09-26,https://www.fidal.it/atleta/GALLIMBERTI-Marcello/dq2RlJOnamk%3D,https://www.fidal.it/societa/POL-BIENATE-MAGNAGO-ATL-/MI157
4050.0,,TRANCHERO Alessandro,2000,CM,ATLETICA IVREA,1 su- 1,Torino,2015-10-17,https://www.fidal.it/atleta/TRANCHERO-Alessandro/dK6RlZqmcGg%3D,https://www.fidal.it/societa/ATLETICA-IVREA/TO037
3996.0,,CANDIOTTO Lorenzo,2000,CM,G.S. FIAMME ORO PADOVA,1 su- 1,Padova,2015-09-12,https://www.fidal.it/atleta/CANDIOTTO-Lorenzo/eKqRkpafbms%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
3982.0,,DI BLASIO Alessio,2000,CM,TRIESTE TRASPORTI CRAL ATL.GIO,1 su- 1,Udine,2015-09-12,https://www.fidal.it/atleta/DI-BLASIO-Alessio/eauRk5Kfamg%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
3966.0,,MORTARA Alessandro,2000,CM,SISPORT SSD,5 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/MORTARA-Alessandro/dK6Rlpajbms%3D,https://www.fidal.it/societa/SISPORT-SSD/TO002
3952.0,,GARZONIO Pietro,2000,CM,POL.BIENATE MAGNAGO ATL.,1 su- 1,Olgiate Olona,2015-05-10,https://www.fidal.it/atleta/GARZONIO-Pietro/dq2RlJembmw%3D,https://www.fidal.it/societa/POL-BIENATE-MAGNAGO-ATL-/MI157
3942.0,,MASERA Alberto,2000,CM,SOCIETA' ATLETICA BOLZANO,6 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/MASERA-Alberto/iaiRkpuha2k%3D,https://www.fidal.it/societa/SOCIETA-ATLETICA-BOLZANO/BZ025
3934.0,,GALLIMBERTI Marcello,2000,CM,POL.BIENATE MAGNAGO ATL.,2 su- 1,Olgiate Olona,2015-05-10,https://www.fidal.it/atleta/GALLIMBERTI-Marcello/dq2RlJOnamk%3D,https://www.fidal.it/societa/POL-BIENATE-MAGNAGO-ATL-/MI157
3928.0,,PASSARINI Chandra,2000,CM,A.S.D. PONTEVECCHIO BOLOGNA,1 se- 1,Cattolica,2015-09-20,https://www.fidal.it/atleta/PASSARINI-Chandra/eqmRkpOlbGo%3D,https://www.fidal.it/societa/A-S-D--PONTEVECCHIO-BOLOGNA/BO506
