prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
6297.0,,LAMA Francesco,1997,AM,ATL. IMOLA SACMI AVIS,1 su- 1,Modena,2014-04-26,https://www.fidal.it/atleta/LAMA-Francesco/eqmRkpOib2g%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
6154.0,,LAMA Francesco,1997,AM,ATL. IMOLA SACMI AVIS,1 su- 1,Santa Cristina,2014-06-28,https://www.fidal.it/atleta/LAMA-Francesco/eqmRkpOib2g%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
5950.0,,CESCA Nicola,1997,AM,ATL. AVIS MACERATA,2 su- 1,Santa Cristina,2014-06-28,https://www.fidal.it/atleta/CESCA-Nicola/e6iRk5ijaWU%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
5924.0,,LEONE Marco,1998,AM,ATL. LECCO-COLOMBO COSTRUZ.,2 se- 1,Bressanone,2014-06-07,https://www.fidal.it/atleta/LEONE-Marco/dquRkpWmaGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
5923.0,,PASCUCCI Nicolas,1997,AM,TEAM-A LOMBARDIA,3 se- 1,Bressanone,2014-06-07,https://www.fidal.it/atleta/PASCUCCI-Nicolas/dq2RlZKfbmQ%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5921.0,,PASCUCCI Nicolas,1997,AM,TEAM-A LOMBARDIA,1 su- 1,Busto Arsizio,2014-04-25,https://www.fidal.it/atleta/PASCUCCI-Nicolas/dq2RlZKfbmQ%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5900.0,,LEONE Marco,1998,AM,ATL. LECCO-COLOMBO COSTRUZ.,2 su- 1,Busto Arsizio,2014-04-25,https://www.fidal.it/atleta/LEONE-Marco/dquRkpWmaGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
5836.0,,CUCULO Jacopo,1997,AM,ATLETICA PIEMONTE ASD,1 su- 1,Santhia,2014-10-18,https://www.fidal.it/atleta/CUCULO-Jacopo/dK6RlpKhbWg%3D,https://www.fidal.it/societa/ATLETICA-PIEMONTE-ASD/TO226
5819.0,,CESCA Nicola,1997,AM,ATL. AVIS MACERATA,1 su- 1,Osimo,2014-04-26,https://www.fidal.it/atleta/CESCA-Nicola/e6iRk5ijaWU%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
5780.0,,MONTEFALCONE Gabriele,1997,AM,SPORTRACE,1 su- 1,Roma,2014-04-26,https://www.fidal.it/atleta/MONTEFALCONE-Gabriele/f6yRkpalbGs%3D,https://www.fidal.it/societa/SPORTRACE/RM243
5772.0,,PASCUCCI Nicolas,1997,AM,TEAM-A LOMBARDIA,3 su- 1,Santa Cristina,2014-06-28,https://www.fidal.it/atleta/PASCUCCI-Nicolas/dq2RlZKfbmQ%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
5733.0,,ROBBIN Jean marie,1998,AM,ATLETICA SANDRO CALVESI,4 su- 1,Santa Cristina,2014-06-28,https://www.fidal.it/atleta/ROBBIN-Jean-marie/dKqRkpKhcGM%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
5593.0,,NICOLA Riccardo,1998,AM,G.S. ERMENEGILDO ZEGNA,1 su- 1,Saronno,2014-09-13,https://www.fidal.it/atleta/NICOLA-Riccardo/dKAAARk5qjbWY%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
5579.0,,NICOLA Riccardo,1998,AM,G.S. ERMENEGILDO ZEGNA,5 su- 1,Santa Cristina,2014-06-28,https://www.fidal.it/atleta/NICOLA-Riccardo/dKAAARk5qjbWY%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
