punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
984,1.76,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,3 su- 1,Lievin,2023-03-11,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
984,1.76,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,2 su- 1,Padova,2023-01-22,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
974,1.75,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,2 su- 1,Parma,2023-02-12,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
955,1.73,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,9 su- 1,Ancona,2023-02-18,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
945,1.72,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,2 su- 1,Ancona,2022-02-19,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
945,1.72,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,3 su- 1,Padova,2022-01-23,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
936,1.71,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,1 se- 2,Padova,2023-01-14,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
936,1.71,DE PAOLI Camilla,2005,JF,ANA ATL.FELTRE,2 su- 1,Ancona,2023-02-04,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
888,1.66,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,1 su- 1,Padova,2022-02-06,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
878,1.65,BASSANI Hilary,1992,CF,ANA ATL.FELTRE,2 su- 1,Padova,2007-03-18,https://www.fidal.it/atleta/BASSANI-Hilary/eKmRlJKmbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
