punteggio,prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
869.0,5.4,,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,1 su- 1,Domegge Di Cadore,2024-10-19,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
867.0,6.74,+0.0,ZIVOJINOVIC Milan,2001,PM,ANA ATL.FELTRE,2 su- 1,Feltre,2021-06-26,https://www.fidal.it/atleta/ZIVOJINOVIC-Milan/eK6Rkpqja2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
839.0,6.61,+0.3,ZIVOJINOVIC Milan,2001,PM,ANA ATL.FELTRE,7 se- 2,Venezia,2021-05-29,https://www.fidal.it/atleta/ZIVOJINOVIC-Milan/eK6Rkpqja2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
833.0,6.58,+0.4,ZIVOJINOVIC Milan,2001,PM,ANA ATL.FELTRE,4 su- 1,Verona,2022-06-02,https://www.fidal.it/atleta/ZIVOJINOVIC-Milan/eK6Rkpqja2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
814.0,6.49,-0.1,ZIVOJINOVIC Milan,2001,PM,ANA ATL.FELTRE,5 se- 3,Vicenza,2021-05-15,https://www.fidal.it/atleta/ZIVOJINOVIC-Milan/eK6Rkpqja2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
813.0,5.14,+0.9,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,1 se- 2,Sacile,2024-06-29,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
809.0,5.12,-0.2,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,4 su- 1,Udine,2020-08-08,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
807.0,5.11,-0.2,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,9 se- 2,Padova,2019-04-25,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
807.0,5.11,-4.4,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,1 se- 1,San Giovanni Lupatoto,2019-04-14,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
801.0,5.08,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,1 su- 1,Pergine E Borgo Valsugana,2009-09-13,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
794.0,5.05,+2.1,DE PAOLI Camilla,2005,AF,ANA ATL.FELTRE,8 su- 1,Cles,2022-09-10,https://www.fidal.it/atleta/DE-PAOLI-Camilla/eKmRlJifbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
794.0,5.05,+1.4,FONTANA Stefania,1994,JF,ANA ATL.FELTRE,8 su- 1,Trento,2012-05-13,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
790.0,5.03,,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,3 su- 1,Feltre,2011-06-18,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
790.0,5.03,+1.7,SCHENAL Anna,2004,AF,ANA ATL.FELTRE,1 se- 1,Treviso,2020-07-26,https://www.fidal.it/atleta/SCHENAL-Anna/eKmRlJajbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
788.0,5.02,+2.2,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,6 su- 1,Rovigo,2011-05-08,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
788.0,5.02,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,4 su- 1,Majano,2009-09-05,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
783.0,5.0,+0.1,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,6 su- 1,Rovigo,2011-05-08,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
780.0,6.33,-0.1,ZIVOJINOVIC Milan,2001,PM,ANA ATL.FELTRE,2 su- 1,San Biagio Di Callalta,2022-07-02,https://www.fidal.it/atleta/ZIVOJINOVIC-Milan/eK6Rkpqja2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
777.0,4.97,+0.6,COLUSSI Ilary,2006,JF,ANA ATL.FELTRE,7 se- 3,Caorle,2024-05-26,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
775.0,4.96,+0.5,COLUSSI Ilary,2006,JF,ANA ATL.FELTRE,7 su- 1,Mestre,2024-06-09,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
769.0,4.93,+1.4,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,7 su- 1,Vicenza,2011-05-22,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
769.0,4.93,,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,6 se- 1,Padova,2011-05-18,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
766.0,4.92,+1.0,SCHENAL Anna,2004,AF,ANA ATL.FELTRE,5 se- 1,Abano Terme,2020-07-31,https://www.fidal.it/atleta/SCHENAL-Anna/eKmRlJajbWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
764.0,4.91,-0.3,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,4 su- 1,Mogliano Veneto,2009-09-19,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
