punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,17.77,-0.3,17.77,e,CANOVA Luca,1991,AM,ANA ATL.FELTRE,2 su- 1,Rosa,2008-06-15,https://www.fidal.it/atleta/CANOVA-Luca/eKiRlZKia2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.73,-0.2,15.73,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,5 se- 1,Rosa,2009-05-23,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,14.72,+0.4,14.72,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 ba- 1,Vedelago,2010-09-12,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,14.98,-1.7,14.98,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 se- 1,Mogliano Veneto,2010-09-18,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.11,-0.1,15.11,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,4 fi- 1,Vedelago,2010-09-12,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.25,-1.1,15.25,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 se- 3,Rossano Veneto,2010-09-05,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.26,-1.5,15.26,e,TIREL Enrico,1993,AM,ANA ATL.FELTRE,1 se- 2,Saronno,2010-06-26,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,16.97,-0.3,16.97,e,PARANI Aire,1994,AM,ANA ATL.FELTRE,3 se- 1,Verona,2010-06-02,https://www.fidal.it/atleta/PARANI-Aire/eKmRlJSgaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,17.12,-0.7,17.12,e,D'AGOSTINI Enrico,1994,AM,ANA ATL.FELTRE,3 se- 2,Mestre,2010-05-08,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,17.8,-0.3,17.80,e,D'AGOSTINI Enrico,1994,AM,ANA ATL.FELTRE,4 se- 1,Verona,2010-06-02,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.27,-0.2,15.27,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,2 se- 1,Bassano Del Grappa,2011-09-17,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.33,+0.6,15.33,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,1 se- 1,Saronno,2011-06-11,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.48,+0.2,15.48,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,3 ba- 1,Vedelago,2011-09-11,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.8,+0.4,15.80,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,4 se- 1,Vicenza,2011-05-21,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.85,+0.3,15.85,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,1 se- 2,Rovigo,2011-05-07,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.37,+1.2,15.37,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,7 ba- 2,Firenze,2012-09-30,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.55,-0.7,15.55,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,3 su- 1,Caprino Veronese,2012-09-08,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.56,-0.3,15.56,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,2 se- 1,Abano Terme,2012-05-12,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.69,+0.9,15.69,e,COLLE Nicola,1996,AM,ANA ATL.FELTRE,1 se- 2,Vicenza,2012-05-26,https://www.fidal.it/atleta/COLLE-Nicola/eKmRlJSla2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,15.74,-0.1,15.74,e,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,2 se- 1,Bassano Del Grappa,2012-09-15,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
