punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
937.0,14.65,+0.7,14.65,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,3 se- 1,Padova,2021-05-22,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
930.0,14.71,+2.5,14.71,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,3 se- 1,Cleveland,2023-05-06,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
926.0,14.74,+1.3,14.74,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,4 ba- 1,Firenze,2022-06-11,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
925.0,14.75,+3.1,14.75,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,3 su- 1,Agordo,2020-08-22,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
924.0,14.76,+1.1,14.76,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,4 ba- 1,Grosseto,2021-06-12,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
920.0,14.79,+1.4,14.79,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,4 se- 1,Modena,2022-04-25,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
919.0,14.8,+0.7,14.80,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,4 se- 1,Venezia,2021-05-29,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
917.0,14.82,-0.7,14.82,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,6 se- 1,Padova,2022-05-14,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
913.0,14.85,,14.85,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,4 su- 1,Bergamo,2021-07-03,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
913.0,14.85,+0.4,14.85,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,3 se- 1,Jonesboro,2023-04-22,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
911.0,14.87,+0.0,14.87,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,4 su- 1,Clinton,2023-04-28,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
908.0,14.89,-0.4,14.89,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,99 su- 1,Bolzano,2022-05-21,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
906.0,14.91,-0.8,14.91,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,4 se- 1,Vicenza,2021-05-15,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
906.0,14.91,-1.1,14.91,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,2 se- 1,Vicenza,2019-06-01,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
897.0,14.98,-0.8,14.98,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,3 su- 1,Bolzano,2021-06-05,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
897.0,14.98,-0.1,14.98,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,1 su- 1,Verona,2021-09-11,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
885.0,15.08,-0.4,15.08,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,1 su- 1,Bolzano,2022-06-02,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
880.0,15.13,+1.1,15.13,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,3 se- 2,Vicenza,2020-07-11,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
878.0,15.14,+0.1,15.14,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,3 se- 1,Modena,2021-09-08,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
867.0,15.24,-0.9,15.24,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,2 se- 1,Vicenza,2021-05-08,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
863.0,15.27,-0.4,15.27,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,3 su- 1,Majano,2021-04-25,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
861.0,15.29,+0.0,15.29,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,4 ba- 3,Grosseto,2020-09-19,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
860.0,15.3,-1.6,15.30,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,5 su- 1,Trieste,2022-07-24,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
860.0,15.3,-3.3,15.30,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,2 se- 1,Vittorio Veneto,2022-05-28,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
856.0,15.33,+0.1,15.33,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,3 se- 1,Vittorio Veneto,2020-07-04,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
846.0,15.42,-1.5,15.42,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,2 su- 1,Mestre,2020-09-05,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
846.0,15.42,-1.6,15.42,e,SCOPEL Gioia,2002,PF,ANA ATL.FELTRE,3 su- 1,Caorle,2023-05-27,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
840.0,15.47,+0.2,15.47,e,SCOPEL Gioia,2002,JF,ANA ATL.FELTRE,1 se- 1,Mestre,2020-07-19,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
