punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,9.69,+0.7,9.69,e,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,2 se- 4,Fidenza,2005-06-19,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.75,+0.0,9.5,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,6 se- 1,Tezze Sul Brenta,2005-09-17,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.85,+0.0,9.6,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,2 se- 1,Abano Terme,2005-06-04,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.95,+0.0,9.7,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,3 se- 1,Marostica,2005-05-15,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.95,+0.0,9.7,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,1 su- 1,Feltre,2005-07-13,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.95,+0.0,9.7,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,1 se- 1,Feltre,2005-08-28,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.95,+0.0,9.7,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,3 se- 1,Marostica,2005-10-02,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.05,+0.0,9.8,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,1 su- 1,Feltre,2005-06-18,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.15,+0.0,9.9,m,MANISCALCHI Stefano,1990,CM,ANA ATL.FELTRE,1 su- 1,Conegliano,2005-04-02,https://www.fidal.it/atleta/MANISCALCHI-Stefano/eKiRlZKia2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.45,+0.0,10.2,m,SPECIA Simone,1990,CM,ANA ATL.FELTRE,3 se- 1,Feltre,2005-08-28,https://www.fidal.it/atleta/SPECIA-Simone/eKmRlJOgbms%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
