punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1032,11.8,+2.8,11.80,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,3 se- 2,Tunisi,2006-08-05,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
995,11.98,+0.2,11.98,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 fi- 1,Lignano Sabbiadoro,2006-09-28,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
982,12.05,+1.9,12.05,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 sf- 2,Lignano Sabbiadoro,2006-09-27,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
966,12.13,-0.1,12.13,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 fi- 1,Fano,2006-10-07,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
964,12.14,+0.4,12.14,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Vicenza,2006-05-27,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
962,12.15,+0.6,11.9,m,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Mestre Venezia,2006-09-16,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
958,12.17,-1.1,12.17,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 ba- 2,Fano,2006-10-07,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
956,12.18,+0.0,12.18,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Tezze Sul Brenta,2006-06-07,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
946,12.23,+3.6,12.23,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,3 ba- 1,Agropoli,2019-06-21,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
946,12.23,+3.4,12.23,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,2 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
927,12.33,+0.6,12.33,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,4 ba- 3,Belgrado,2007-07-23,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
925,12.34,+0.9,12.34,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Vicenza,2007-05-12,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
