punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,8.75,,8.5,m,BONAN Marco,2000,EM,ANA ATL.FELTRE,3 se- 2,Belluno,2009-10-03,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.85,,8.6,m,ZAPPIA Matteo,1998,EM,ANA ATL.FELTRE,7 se- 1,Belluno,2009-10-17,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.15,,8.9,m,STACH Nicola,1998,EM,ANA ATL.FELTRE,4 se- 2,Feltre,2009-09-12,https://www.fidal.it/atleta/STACH-Nicola/eKmRlJKob2U%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.15,,8.9,m,DA RIN DE MONEGO Lorenzo,2000,EM,ANA ATL.FELTRE,7 se- 2,Belluno,2009-10-03,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Lorenzo/eKmRlJefa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.95,,9.7,m,STACH Piero,2001,EM,ANA ATL.FELTRE,6 se- 1,Feltre,2009-09-12,https://www.fidal.it/atleta/STACH-Piero/eKmRlJSjcWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.15,,9.9,m,DA RIN DE MONEGO Lorenzo,2000,EM,ANA ATL.FELTRE,8 se- 1,Feltre,2009-09-12,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Lorenzo/eKmRlJefa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.25,,8.0,m,FILOSA Annalisa,1999,EF,ANA ATL.FELTRE,1 se- 1,Belluno,2009-10-17,https://www.fidal.it/atleta/FILOSA-Annalisa/eKmRlJSjb2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.45,,9.2,m,SCOPEL Gioia,2002,EF,ANA ATL.FELTRE,1 se- 1,Belluno,2009-10-03,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.65,,9.4,m,COLDEBELLA Gloria,2000,EF,ANA ATL.FELTRE,7 se- 2,Belluno,2009-10-03,https://www.fidal.it/atleta/COLDEBELLA-Gloria/eKmRlJSjcGk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.15,,9.9,m,ZAPPIA Laura,2001,EF,ANA ATL.FELTRE,18 se- 2,Belluno,2009-10-03,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.95,,8.7,m,ZUCCO Federico,1999,EM,ANA ATL.FELTRE,14 se- 1,Belluno,2010-04-17,https://www.fidal.it/atleta/ZUCCO-Federico/eKmRlJSoaGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.15,,8.9,m,DA RIN DE MONEGO Lorenzo,2000,EM,ANA ATL.FELTRE,18 se- 1,Belluno,2010-04-17,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Lorenzo/eKmRlJefa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.65,,9.4,m,STACH Piero,2001,EM,ANA ATL.FELTRE,7 se- 2,Belluno,2010-04-17,https://www.fidal.it/atleta/STACH-Piero/eKmRlJSjcWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.95,,8.7,m,PAGNUSSAT Emma,1999,EF,ANA ATL.FELTRE,13 se- 1,Belluno,2010-04-17,https://www.fidal.it/atleta/PAGNUSSAT-Emma/eKmRlJSjb2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.35,,9.1,m,COLDEBELLA Gloria,2000,EF,ANA ATL.FELTRE,20 se- 1,Belluno,2010-04-17,https://www.fidal.it/atleta/COLDEBELLA-Gloria/eKmRlJSjcGk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.85,,9.6,m,DE COL Alessia,2002,EF,ANA ATL.FELTRE,11 se- 2,Belluno,2010-04-17,https://www.fidal.it/atleta/DE-COL-Alessia/eKmRlJSmbmk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.95,,9.7,m,ZAPPIA Laura,2001,EF,ANA ATL.FELTRE,14 se- 2,Belluno,2010-04-17,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.35,,10.1,m,MADDALON Clarissa,2001,EF,ANA ATL.FELTRE,24 se- 2,Belluno,2010-04-17,https://www.fidal.it/atleta/MADDALON-Clarissa/eKmRlJSmbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.42,,8.42,e,CASSOL Abayneh,2001,EM,ANA ATL.FELTRE,4 se- 8,Castelnovo Monti,2012-09-07,https://www.fidal.it/atleta/CASSOL-Abayneh/eKmRlJWmaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.05,,8.8,m,STACH Piero,2001,EM,ANA ATL.FELTRE,26 se- 1,Longarone,2012-04-28,https://www.fidal.it/atleta/STACH-Piero/eKmRlJSjcWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.65,,8.4,m,ZAPPIA Laura,2001,EF,ANA ATL.FELTRE,6 se- 1,Longarone,2012-04-28,https://www.fidal.it/atleta/ZAPPIA-Laura/eKmRlJSjcGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.35,,9.1,m,DE COL Alessia,2002,EF,ANA ATL.FELTRE,24 se- 1,Longarone,2012-04-28,https://www.fidal.it/atleta/DE-COL-Alessia/eKmRlJSmbmk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.65,,8.4,m,CICCIOMASCOLO Leonardo,2002,EM,ANA ATL.FELTRE,8 se- 1,Belluno,2013-04-20,https://www.fidal.it/atleta/CICCIOMASCOLO-Leonardo/eKmRlJSobWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.25,,9.0,m,CAPRETTA Francesco,2002,EM,ANA ATL.FELTRE,24 se- 1,Belluno,2013-04-20,https://www.fidal.it/atleta/CAPRETTA-Francesco/eKmRlJagcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.35,,9.1,m,SLONGO Giacomo,2002,EM,ANA ATL.FELTRE,29 se- 1,Belluno,2013-04-20,https://www.fidal.it/atleta/SLONGO-Giacomo/eKmRlJahaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.05,,8.8,m,PALUDETTO Caterina,2002,EF,ANA ATL.FELTRE,13 se- 1,Belluno,2013-04-20,https://www.fidal.it/atleta/PALUDETTO-Caterina/eKmRlJagbmc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
